key_size;generate_keys;encrypt;decrypt;brute_force
32;73;4;4;33;
32;15;3;3;14;
32;18;2;4;31;
32;3;1;2;3;
32;10;1;2;48;
32;14;1;2;32;
32;6;1;2;22;
32;4;1;2;16;
32;11;1;2;2;
32;15;1;1;6;
32;6;0;1;4;
32;2;0;1;3;
32;5;1;1;15;
32;3;1;1;2;
32;16;1;0;4;
32;3;1;1;22;
32;1;1;1;3;
32;3;0;1;10;
32;9;1;0;5;
32;1;0;0;4;
32;2;1;0;7;
32;2;1;0;1;
32;1;1;0;2;
32;5;1;1;0;
32;3;0;1;7;
32;4;1;0;9;
32;1;1;0;2;
32;3;1;1;1;
32;2;1;1;2;
32;2;0;1;11;
