key_size;generate_keys;encrypt;decrypt;brute_force
64;99;4;7;283876;
64;36;2;2;81605;
64;10;1;2;57438;
64;16;2;1;94495;
64;15;1;1;41293;
64;19;1;1;317860;
64;4;0;1;90814;
64;10;1;1;183103;
64;9;0;1;228376;
64;4;1;0;12649;
64;4;1;1;131900;
64;2;0;1;82994;
64;3;0;1;406129;
64;2;0;0;46883;
64;4;0;1;57764;
64;5;0;0;2684;
64;6;1;0;25538;
