key_size;generate_keys;encrypt;decrypt;brute_force
16;37;5;5;6;
16;10;2;3;3;
16;3;1;3;4;
16;9;2;2;3;
16;13;2;1;3;
16;15;1;2;2;
16;8;1;1;2;
16;13;1;1;2;
16;7;1;1;1;
16;7;1;1;2;
16;8;1;1;2;
16;7;1;1;1;
16;5;1;1;2;
16;2;1;1;1;
16;1;1;1;2;
16;2;1;1;1;
16;6;0;1;2;
16;5;1;1;1;
16;5;0;1;2;
16;2;0;1;2;
16;4;1;1;1;
16;3;0;1;2;
16;1;1;1;2;
16;6;0;1;2;
16;2;1;1;2;
16;9;0;1;2;
16;3;1;1;1;
16;6;0;1;2;
16;2;1;1;1;
16;2;0;1;1;
