key_size;generate_keys;encrypt;decrypt;brute_force;
55;1;0;1;5087;
55;0;0;0;2231;
55;0;0;0;1575;
55;0;0;0;1657;
55;0;0;0;3014;
55;0;0;0;694;
55;0;0;0;1442;
55;0;0;0;213;
55;0;0;0;23;
55;1;0;0;4625;
55;0;1;0;4119;
55;0;0;0;56;
55;0;0;0;1138;
55;0;0;0;3635;
55;0;0;1;751;
55;0;0;0;1724;
55;1;0;0;189;
55;0;0;5;1772;
55;0;0;0;585;
55;0;0;0;3240;
55;0;0;0;4685;
55;0;0;0;2289;
55;0;0;0;1200;
55;0;0;1;1591;
60;0;0;0;4919;
60;0;0;0;5233;
60;0;4;0;67933;
60;0;0;1;56242;
60;0;0;0;15718;
60;0;0;0;49235;
60;0;0;0;30733;
60;0;0;0;35652;
60;0;1;0;15884;
60;0;0;0;36706;
60;0;0;0;37194;
60;1;0;0;55998;
60;0;0;0;17162;
60;0;3;1;11394;
60;0;1;0;46081;
60;0;0;0;24210;
60;1;0;0;25682;
60;0;0;0;28530;
60;0;0;0;37395;
60;0;0;0;14213;
60;1;0;0;51689;
60;0;0;0;45154;
60;1;0;0;1005;
60;0;0;0;2589;
60;1;0;0;20692;
60;1;0;0;36830;
60;1;0;0;910;
60;1;0;0;32925;
60;1;0;0;861;
60;6;0;0;1133;
65;0;0;0;49844;
65;0;0;0;134474;
65;0;0;0;97321;
65;0;0;0;47068;
65;0;0;0;56242;
65;1;0;7;151243;
65;0;0;0;50633;
65;0;0;0;55207;
65;0;0;0;72650;
65;0;0;0;2848;
65;0;0;3;265620;
65;0;0;1;157921;
65;0;0;0;109750;
65;1;0;0;115168;
65;0;0;0;180637;
65;0;0;0;253963;
65;0;1;0;200179;
65;0;0;0;113077;
65;0;0;0;24179;
65;1;0;0;97929;
65;0;0;0;44309;
65;0;0;0;69945;
65;0;0;0;29631;
65;1;0;0;169509;
65;0;0;0;46163;
65;0;0;0;31543;
65;1;0;0;53960;
65;0;0;0;228033;
65;1;0;0;713;
65;1;0;0;168506;
70;0;0;2;1127411;
70;1;0;2;3205843;
70;0;0;1;1252832;
70;1;0;0;620798;
70;1;0;0;337102;
70;0;0;0;1016844;
70;1;0;0;270858;
70;0;0;5;2659739;
70;1;0;0;940658;
70;0;0;1;1877810;
70;1;0;0;1860428;
70;6;0;0;312414;
70;1;0;0;1430076;
70;0;0;1;1332805;
70;0;0;1;398376;
70;0;0;0;215664;
70;0;0;0;854613;
70;1;0;0;2860220;
70;0;0;1;3548873;
70;0;5;0;216759;
70;0;0;0;1053081;
70;0;0;0;529181;
70;0;0;0;211312;
70;0;0;1;1410995;
70;0;0;1;2149203;
70;1;0;0;1964388;
70;0;0;0;2366556;
