key_size;generate_keys;encrypt;decrypt;brute_force;empty
16;29;1;2;10;
16;12;0;1;1;
16;8;0;0;9;
16;2;0;1;0;
16;10;0;0;1;
16;7;0;0;1;
16;12;0;0;0;
16;7;0;1;0;
16;10;0;0;1;
16;0;1;0;0;
16;9;0;1;0;
16;1;0;0;0;
16;10;0;1;0;
16;1;0;0;0;
16;5;0;0;0;
16;5;0;0;0;
16;2;0;0;0;
16;4;0;0;0;
16;5;0;0;0;
16;1;0;0;1;
16;3;0;0;0;
16;1;0;0;0;
16;0;1;0;0;
16;0;0;1;4;
16;0;0;1;3;
16;0;1;0;0;
16;0;0;1;0;
16;1;0;0;0;
16;5;0;0;1;
16;1;0;0;1;
20;0;0;0;0;
20;5;0;0;0;
20;1;0;0;2;
20;8;0;0;0;
20;1;0;0;0;
20;2;0;1;0;
20;5;0;0;1;
20;0;0;0;1;
20;0;0;0;1;
20;0;1;0;0;
20;1;0;0;0;
20;1;0;0;0;
20;9;0;0;0;
20;1;0;0;1;
20;4;0;0;0;
20;1;0;0;1;
20;6;0;1;0;
20;1;0;0;0;
20;1;0;0;0;
20;1;0;0;0;
20;0;1;0;0;
20;0;0;1;0;
20;9;0;0;1;
20;0;0;0;1;
20;1;0;3;0;
20;0;0;0;0;
20;1;0;0;0;
20;5;0;0;1;
20;0;0;0;1;
20;2;0;0;0;
25;0;0;0;3;
25;4;0;0;1;
25;0;0;0;3;
25;0;0;1;0;
25;0;1;0;0;
25;1;0;0;3;
25;1;0;0;0;
25;1;0;0;0;
25;5;0;0;0;
25;1;0;0;1;
25;0;0;0;1;
25;0;0;0;5;
25;2;0;0;0;
25;1;0;0;0;
25;5;2;0;1;
25;3;0;0;0;
25;1;0;5;0;
25;1;0;0;0;
25;1;0;0;1;
25;1;4;0;0;
25;0;1;0;0;
25;1;0;0;0;
25;1;0;0;0;
25;0;0;0;4;
25;0;0;0;-1
25;1;0;0;0;
25;1;0;0;6;
25;1;0;0;0;
25;1;0;0;0;
25;0;1;0;0;
30;0;0;1;0;
30;0;0;3;0;
30;1;0;0;0;
30;1;0;0;0;
30;7;0;0;1;
30;1;0;0;0;
30;4;0;0;1;
30;0;0;0;1;
30;7;0;1;0;
30;1;0;0;1;
30;1;0;0;6;
30;0;0;0;2;
30;1;0;0;0;
30;1;0;0;1;
30;0;0;0;4;
30;0;0;0;1;
30;0;0;1;6;
30;0;0;1;0;
30;1;0;0;1;
30;1;0;0;3;
30;1;0;0;3;
30;1;0;0;0;
30;1;0;0;1;
30;1;0;0;1;
30;1;0;0;2;
30;2;0;0;0;
30;0;0;0;1;
30;6;0;0;1;
30;1;0;0;1;
30;7;0;0;4;
35;1;0;0;3;
35;5;0;0;4;
35;1;0;0;7;
35;0;0;0;2;
35;1;0;0;1;
35;0;0;0;2;
35;0;4;0;1;
35;0;0;2;8;
35;1;0;0;2;
35;1;4;0;1;
35;1;0;0;1;
35;5;0;0;1;
35;0;0;0;1;
35;1;0;0;0;
35;5;0;0;1;
35;0;0;0;1;
35;3;0;0;6;
35;1;0;0;4;
35;2;0;0;6;
35;0;0;0;0;
35;1;0;1;0;
35;5;0;0;1;
35;2;0;0;0;
35;6;0;0;2;
35;1;0;0;2;
35;1;0;0;5;
35;1;0;0;7;
35;0;0;0;3;
35;1;0;0;1;
35;1;0;0;5;
40;8;0;0;1;
40;2;0;0;9;
40;2;0;0;9;
40;6;0;0;8;
40;0;0;1;7;
40;1;0;0;5;
40;1;0;0;17;
40;1;0;0;6;
40;0;0;1;5;
40;0;0;1;2;
40;0;0;0;3;
40;1;0;0;11;
40;4;0;0;7;
40;4;0;0;1;
40;1;0;0;10;
40;0;0;3;8;
40;1;0;1;7;
40;1;0;0;14;
40;1;0;1;26;
40;0;0;0;7;
40;1;0;0;17;
40;1;0;0;1;
40;1;0;0;3;
40;2;0;0;15;
40;1;0;2;9;
40;1;0;0;9;
40;1;0;0;10;
40;1;1;4;6;
40;1;0;0;13;
40;0;0;0;3;
45;5;0;0;34;
45;7;0;0;8;
45;1;0;0;3;
45;2;0;0;9;
45;1;0;0;42;
45;1;0;0;10;
45;1;0;0;6;
45;1;0;0;7;
45;1;0;0;11;
45;0;0;1;11;
45;1;0;0;10;
45;1;0;0;8;
45;0;1;0;1;
45;5;0;0;11;
45;3;0;0;7;
45;7;0;0;2;
45;1;0;0;9;
45;1;0;0;1;
45;1;0;0;11;
45;1;0;1;6;
45;1;0;0;8;
45;2;0;0;1;
45;0;0;1;22;
45;1;0;0;5;
45;1;1;0;0;
45;1;0;0;6;
45;1;6;0;1;
45;1;0;1;6;
45;1;0;0;14;
45;1;0;0;16;
50;1;0;0;4;
50;5;0;0;1;
50;0;0;0;1;
50;5;0;1;16;
50;3;0;1;12;
50;0;0;0;19;
50;1;0;0;23;
50;2;0;0;12;
50;0;0;3;14;
50;1;0;0;0;
50;1;0;1;33;
50;2;0;0;10;
50;1;0;0;37;
50;1;0;1;25;
50;2;0;0;76;
50;5;0;1;43;
50;0;0;0;21;
50;2;0;1;56;
50;0;0;0;39;
50;2;0;0;31;
50;0;0;0;11;
50;0;1;0;29;
50;0;0;0;47;
50;0;0;1;78;
50;0;0;0;4;
50;3;0;0;22;
50;1;0;0;73;
50;0;0;0;10;
50;5;0;0;8;
50;0;1;0;37;
55;1;0;0;53;
55;3;0;0;119;
55;5;0;0;57;
55;0;0;1;63;
55;2;1;0;5;
55;5;0;1;35;
55;8;0;0;38;
55;7;0;0;48;
55;1;0;0;52;
55;0;0;0;21;
55;0;6;0;8;
55;7;0;0;103;
55;5;1;0;31;
55;0;1;0;2;
55;0;0;5;97;
55;0;0;0;42;
55;0;0;0;11;
55;5;0;0;35;
55;1;0;0;12;
55;3;0;0;46;
55;0;0;0;14;
55;1;0;0;81;
55;1;0;0;19;
55;5;0;0;47;
55;5;0;0;20;
55;2;0;0;19;
55;1;0;0;5;
55;0;0;0;35;
55;1;0;0;13;
55;1;0;0;20;
60;0;0;0;68;
60;3;1;0;58;
60;1;0;0;93;
60;1;0;0;64;
60;0;0;1;180;
60;1;0;0;94;
60;0;0;0;105;
60;1;0;0;21;
60;0;0;1;43;
60;0;0;1;45;
60;1;0;0;93;
60;1;0;0;17;
60;0;0;0;49;
60;0;1;0;64;
60;2;0;0;8;
60;1;0;0;89;
60;0;0;0;82;
60;0;1;0;109;
60;0;0;0;53;
60;0;0;0;53;
60;0;1;0;16;
60;1;0;0;173;
60;1;0;0;96;
60;1;0;0;34;
60;4;0;0;68;
60;2;0;0;110;
60;1;0;0;46;
60;0;0;0;76;
60;1;0;0;195;
60;2;0;0;65;
65;2;4;0;506;
65;2;0;0;477;
65;1;0;0;51;
65;1;0;0;455;
65;9;0;0;106;
65;0;0;1;299;
65;1;0;0;166;
65;1;0;0;315;
65;0;0;0;142;
65;1;0;0;120;
65;1;0;0;38;
65;0;0;0;133;
65;1;0;0;44;
65;1;0;0;103;
65;1;0;0;10;
65;0;1;0;306;
65;0;0;0;193;
65;1;0;1;112;
65;2;0;0;35;
65;1;0;1;465;
65;0;0;1;40;
65;0;4;0;204;
65;4;0;1;507;
65;0;0;1;422;
65;0;0;0;214;
65;0;0;1;342;
65;0;0;0;94;
65;0;0;0;24;
65;0;1;0;64;
65;0;1;0;164;
70;5;0;0;111;
70;0;0;0;296;
70;3;1;0;338;
70;1;0;0;271;
70;1;0;1;273;
70;0;0;1;1466;
70;1;0;1;535;
70;5;0;0;770;
70;1;5;0;436;
70;1;0;0;1313;
70;1;0;0;1197;
70;1;0;0;508;
70;1;0;0;740;
70;0;1;0;692;
70;1;1;0;881;
70;1;0;0;629;
70;0;0;0;1003;
70;1;0;0;1169;
70;1;2;7;1033;
70;1;0;0;490;
70;1;0;0;142;
70;1;0;0;418;
70;1;0;0;289;
70;1;0;0;1155;
70;1;1;0;253;
70;1;0;1;1120;
70;0;0;1;687;
70;1;0;0;342;
70;0;1;0;397;
70;2;1;0;135;
75;1;0;0;1095;
75;0;0;1;2197;
75;4;0;0;813;
75;2;0;0;720;
75;1;0;0;621;
75;1;0;0;2395;
75;1;0;0;1247;
75;1;0;1;568;
75;0;1;0;2013;
75;2;0;0;1142;
75;1;0;0;2377;
75;5;0;0;495;
75;1;0;0;1953;
75;2;0;0;2180;
75;0;0;0;1414;
75;0;0;1;2684;
75;0;0;0;2501;
75;2;0;0;494;
75;1;0;0;1468;
75;0;1;0;1442;
75;0;0;1;615;
75;1;0;0;2232;
75;0;0;1;302;
75;3;0;0;2145;
75;1;0;1;2154;
75;1;0;0;2523;
75;1;0;1;2693;
75;1;0;0;1509;
75;7;0;0;2697;
75;1;1;0;340;
80;1;0;0;2467;
80;0;0;0;5729;
80;0;1;0;6925;
80;1;0;0;1273;
80;1;0;0;3737;
80;4;0;0;8555;
80;0;0;0;5966;
80;1;0;0;3168;
80;1;0;0;8638;
80;1;0;0;1668;
80;1;0;0;9089;
80;2;0;0;7905;
80;0;0;1;905;
80;2;0;0;5347;
80;1;0;0;5247;
80;1;0;0;697;
80;0;1;0;4809;
80;1;0;0;6297;
80;1;0;0;1119;
80;1;0;0;5567;
80;0;0;0;635;
80;2;0;0;13709;
80;1;0;0;1851;
80;2;0;1;4606;
80;0;0;1;3560;
80;0;0;1;883;
80;12;0;1;3212;
80;2;0;1;3710;
80;1;0;0;6742;
80;5;1;0;2275;
85;1;1;0;8077;
85;0;0;0;9464;
85;1;0;0;11198;
85;1;0;0;5397;
85;4;0;0;10109;
85;2;0;0;4342;
85;3;0;0;3014;
85;1;0;1;3954;
85;5;0;0;6970;
85;1;0;0;9536;
85;0;1;0;4302;
85;2;0;0;9977;
85;1;0;0;3452;
85;1;0;1;11636;
85;1;0;0;7014;
85;0;0;1;348;
85;0;0;1;2825;
85;0;0;0;6921;
85;1;0;0;45652;
85;2;0;0;5752;
85;1;0;0;14117;
85;1;0;0;9341;
85;1;0;0;2423;
85;1;0;0;16347;
85;2;0;0;23397;
85;0;1;0;23214;
85;0;0;0;7364;
85;0;0;0;19475;
85;1;0;0;9922;
85;2;0;0;9733;
90;1;0;0;32020;
90;1;0;0;47783;
90;1;1;0;25765;
90;1;0;1;29871;
90;0;0;1;27957;
90;1;0;0;24133;
90;0;0;0;24389;
90;2;0;0;48371;
90;1;0;0;31642;
90;2;0;0;12817;
90;1;1;0;30705;
90;0;0;1;23616;
90;1;0;0;42953;
90;1;0;0;32859;
90;1;0;0;41651;
90;2;0;1;31607;
90;1;1;0;37192;
90;1;0;0;1951;
90;1;0;0;28329;
90;0;0;1;25074;
90;1;0;0;10737;
90;0;0;1;89324;
90;2;0;0;15265;
90;1;0;1;101159;
90;0;0;1;30303;
90;1;0;0;23295;
90;1;0;0;11325;
90;1;0;0;29583;
90;0;1;0;98112;
90;2;0;0;10931;
95;1;0;0;90433;
95;1;0;0;70885;
95;3;0;0;31705;
95;1;0;0;87611;
95;1;0;1;41184;
95;1;0;0;105106;
95;1;0;0;40138;
95;0;0;1;100444;
95;2;0;0;57661;
95;1;0;0;24224;
95;0;0;0;9690;
95;2;0;0;13459;
95;1;0;0;3133;
95;2;0;0;92700;
95;1;0;1;153565;
95;0;0;1;9006;
95;1;0;0;113588;
95;3;0;0;31765;
95;4;0;0;17450;
95;1;0;1;8861;
95;7;0;0;5507;
95;1;0;1;89109;
95;2;1;0;113550;
95;2;0;0;60436;
95;1;0;0;99554;
95;1;0;1;32786;
95;0;0;1;100984;
95;5;0;0;31566;
95;2;0;0;19071;
95;1;0;1;106744;
100;6;0;0;76796;
100;3;0;0;141036;
100;5;0;1;64474;
100;2;0;1;24267;
100;2;0;0;499907;
100;1;0;0;106600;
100;0;1;0;251585;
100;2;0;1;146021;
100;1;0;0;118528;
100;1;0;0;70255;
100;0;0;1;132843;
100;0;0;0;447096;
100;2;0;0;346360;
100;1;0;1;385419;
100;2;0;0;112041;
100;6;0;0;52153;
100;2;0;0;115799;
100;0;0;1;495522;
100;3;0;0;457116;
100;1;0;1;184790;
100;1;0;0;79248;
100;2;0;0;174072;
100;3;0;0;73527;
100;2;0;6;461340;
100;9;0;0;274401;
100;1;0;1;206317;
100;2;0;1;30068;
100;2;0;0;74065;
100;2;0;1;224703;
100;2;1;0;293372;
105;1;0;0;689288;
105;1;0;1;309395;
105;2;0;0;702446;
105;1;0;1;210398;
105;1;0;0;843393;
105;1;0;0;439422;
105;3;0;0;664445;
105;1;0;1;511764;
105;1;0;0;463375;
105;3;0;0;1048439;
105;1;0;1;819912;
105;2;0;1;245916;
105;0;0;1;700942;
105;8;0;0;311487;
105;1;0;0;572871;
105;0;0;0;409824;
105;4;0;0;128918;
105;0;0;1;816409;
105;1;0;0;187358;
105;1;0;0;240874;
105;1;0;0;810494;
105;0;0;1;880308;
105;1;0;1;1033906;
105;2;0;0;970309;
105;1;0;0;206565;
105;1;0;0;931245;
105;1;0;0;837900;
105;2;0;0;370792;
105;1;0;1;192605;
105;1;0;1;680689;
110;1;1;0;736831;
110;0;0;1;912946;
110;4;0;1;1604282;
110;1;1;0;312939;
110;13;0;0;91980;
110;1;0;0;1973634;
110;2;0;1;474952;
110;1;1;0;86493;
110;2;0;0;769046;
110;2;0;0;779531;
110;2;0;0;919490;
110;5;0;0;1114145;
110;2;0;1;2370056;
